,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,
0,31.375,31.2023,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1996,31.1995,31.1995,31.1995,31.1995,31.1994,31.1993,31.1991,31.1987,31.198,31.197,31.1953,31.1927,31.1888,31.183,31.1745,31.1624,31.1455,31.1222,31.0907,31.0488,30.9941,30.9237,30.8344,30.7228,30.5852,30.4178,30.2167,29.9782,29.6987,29.3748,29.0036,28.5828,28.1104,27.5856,27.0079,26.378,25.6972,24.9677,24.1924,23.3752,22.5204,21.633,20.7183,19.7821,18.8304,17.8693,16.9048,15.9428,14.989,14.0488,13.1271,12.2285,11.3569,10.5157,9.708,8.93604,8.20164,7.50611,6.85025,6.23438,5.65842,5.12193,4.62411,4.16389,3.73998,3.35088,2.99494,2.67043,2.3755,2.10832,1.86699,1.64965,1.45449,1.27973,1.12366,0.984639,0.861128,0.751668,0.654893,0.569535,0.494418,0.42846,0.37067,0.320141,0.276051,0.237657,0.204287,0.175337,0.150269,0.1286,0.109901,0.0937935,0.0799399,0.0680441,0.0578452,0.0491143,0.041651,0.0352804,0.02985,0.0252273,0.0212974,0.0179606,0.0151311,0.0127345,0.010707,0.00899371,0.00754758,0.00632826,0.00530125,0.00443711,0.00371074,0.00310075,0.00258899,0.00216004,0.0018008,0.00150022,0.00124893,0.00103901,0.000863799,0.000717666,0.000595878,0.000494454,0.000410048,0.000339853,0.000281516,0.000233066,0.000192851,0.000159493,0.000131838,0.000108926,8.99527e-05,7.42499e-05,6.12605e-05,5.05209e-05,4.16456e-05,3.43141e-05,2.82602e-05,2.3263e-05,1.91391e-05,1.57363e-05,1.29283e-05,1.06107e-05,8.69639e-06,7.11332e-06,5.80143e-06,4.71064e-06,3.799e-06,3.03116e-06,2.37704e-06,1.81073e-06,1.30952e-06,8.53049e-07,4.22516e-07,0,
1,31.375,31.204,31.2014,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2013,31.2012,31.2012,31.2011,31.2008,31.2005,31.1999,31.1989,31.1973,31.1948,31.1911,31.1855,31.1773,31.1656,31.1491,31.1264,31.0956,31.0545,31.0008,30.9314,30.8433,30.7329,30.5965,30.4304,30.2306,29.9931,29.7145,29.3912,29.0203,28.5993,28.1263,27.6004,27.0211,26.389,25.7054,24.9726,24.1935,23.372,22.5124,21.6199,20.6999,19.7583,18.8011,17.8345,16.8646,15.8975,14.9389,13.9942,13.0686,12.1665,11.2919,10.4484,9.63881,8.8656,8.13052,7.43484,6.77934,6.16431,5.58962,5.05478,4.55896,4.10102,3.67963,3.29323,2.94015,2.61858,2.32667,2.06251,1.82419,1.60984,1.41759,1.24565,1.09229,0.95587,0.83483,0.727705,0.633126,0.549822,0.476616,0.412429,0.356272,0.307244,0.264529,0.227388,0.195157,0.167238,0.143101,0.12227,0.104324,0.0888884,0.075635,0.0642733,0.0545485,0.0462374,0.0391449,0.0331011,0.0279581,0.0235876,0.0198785,0.0167347,0.0140735,0.0118234,0.00992332,0.00832055,0.00697012,0.00583354,0.00487796,0.00407538,0.00340199,0.00283753,0.00236485,0.00196938,0.0016388,0.00136271,0.00113233,0.000940243,0.000780214,0.000646998,0.000536185,0.000444076,0.000367569,0.000304064,0.000251389,0.000207724,0.000171551,0.000141604,0.000116826,9.63358e-05,7.94016e-05,6.54136e-05,5.38652e-05,4.43358e-05,3.6476e-05,2.99962e-05,2.46561e-05,2.02569e-05,1.66336e-05,1.36499e-05,1.11929e-05,9.16899e-06,7.50084e-06,6.12427e-06,4.98601e-06,4.04173e-06,3.25439e-06,2.59284e-06,2.03066e-06,1.54515e-06,1.11644e-06,7.26789e-07,3.59833e-07,0,
2,31.375,31.2057,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.2031,31.203,31.203,31.203,31.203,31.2029,31.2028,31.2026,31.2023,31.2017,31.2008,31.1993,31.1969,31.1933,31.1879,31.18,31.1687,31.1526,31.1305,31.1004,31.0602,31.0074,30.9391,30.8522,30.743,30.608,30.4431,30.2445,30.0082,29.7304,29.4078,29.0372,28.616,28.1425,27.6155,27.0346,26.4002,25.7139,24.9777,24.1947,23.3688,22.5045,21.6069,20.6815,19.7343,18.7715,17.7993,16.824,15.8517,14.8882,13.9391,13.0094,12.1038,11.2263,10.3803,9.56899,8.79455,8.05882,7.36304,6.70795,6.09381,5.52046,4.98734,4.49357,4.03799,3.61917,3.23555,2.88537,2.56681,2.27795,2.01687,1.78161,1.57026,1.38095,1.21185,1.06123,0.927419,0.808858,0.704072,0.611688,0.530433,0.459132,0.396707,0.342173,0.294634,0.25328,0.217377,0.18627,0.159368,0.136147,0.116138,0.0989288,0.0841519,0.071485,0.0606442,0.051381,0.0434778,0.0367451,0.0310178,0.0261526,0.0220255,0.0185291,0.015571,0.0130713,0.0109617,0.00918338,0.00768609,0.00642684,0.00536894,0.00448116,0.00373692,0.00311363,0.00259216,0.00215629,0.0017923,0.00148863,0.00123549,0.00102465,0.000849204,0.000703318,0.000582108,0.000481478,0.000397995,0.000328787,0.000271454,0.00022399,0.000184722,0.000152257,0.000125431,0.000103279,8.49972e-05,6.99179e-05,5.74868e-05,4.72442e-05,3.88091e-05,3.18658e-05,2.6153e-05,2.14546e-05,1.75917e-05,1.44167e-05,1.18075e-05,9.66321e-06,7.90067e-06,6.45102e-06,5.25735e-06,4.27253e-06,3.45742e-06,2.7794e-06,2.2111e-06,1.72938e-06,1.31439e-06,9.48825e-07,6.17251e-07,3.05474e-07,0,
3,31.375,31.2074,31.2049,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2048,31.2047,31.2047,31.2046,31.2044,31.2041,31.2036,31.2027,31.2012,31.199,31.1955,31.1904,31.1827,31.1717,31.1562,31.1346,31.1052,31.0659,31.014,30.9468,30.861,30.7532,30.6194,30.4559,30.2585,30.0233,29.7465,29.4246,29.0543,28.6331,28.159,27.6309,27.0483,26.4118,25.7226,24.983,24.1962,23.3658,22.4966,21.5938,20.6629,19.7101,18.7416,17.7638,16.783,15.8054,14.837,13.8834,12.9496,12.0405,11.16,10.3117,9.49852,8.72288,7.98654,7.2907,6.63608,6.0229,5.45094,4.91961,4.42797,3.97479,3.55863,3.17784,2.83063,2.51513,2.22937,1.9714,1.73924,1.53093,1.34458,1.17835,1.03048,0.899294,0.783218,0.680773,0.590582,0.511372,0.441968,0.381296,0.328374,0.282311,0.242303,0.207625,0.177626,0.151725,0.129404,0.110203,0.0937154,0.0795823,0.0674878,0.0571547,0.0483405,0.0408335,0.0344495,0.0290285,0.0244317,0.0205392,0.0172475,0.0144676,0.0121228,0.0101476,0.00848563,0.0070889,0.00591641,0.00493326,0.00410976,0.00342071,0.00284474,0.00236378,0.00196254,0.00162812,0.00134965,0.00111797,0.000925389,0.000765441,0.000632703,0.000522635,0.000431435,0.000355925,0.000293451,0.000241799,0.000199124,0.000163888,0.000134815,0.00011084,9.10818e-05,7.48085e-05,6.1413e-05,5.03923e-05,4.13303e-05,3.38826e-05,2.77645e-05,2.2741e-05,1.86178e-05,1.52349e-05,1.24602e-05,1.01846e-05,8.31852e-06,6.78788e-06,5.53168e-06,4.49958e-06,3.65e-06,2.94846e-06,2.36632e-06,1.87961e-06,1.46809e-06,1.11449e-06,8.03754e-07,5.22509e-07,2.58475e-07,0,
4,31.375,31.2091,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2066,31.2065,31.2065,31.2065,31.2065,31.2064,31.2062,31.2059,31.2054,31.2045,31.2032,31.2011,31.1977,31.1928,31.1854,31.1748,31.1597,31.1387,31.11,31.0715,31.0206,30.9545,30.8699,30.7633,30.6309,30.4687,30.2727,30.0386,29.7628,29.4415,29.0716,28.6504,28.1758,27.6466,27.0624,26.4236,25.7316,24.9886,24.1978,23.3629,22.4888,21.5807,20.6443,19.6858,18.7115,17.7279,16.7416,15.7587,14.7853,13.8271,12.8892,11.9765,11.093,10.2423,9.4274,8.65059,7.91367,7.21783,6.56373,5.95157,5.38107,4.85159,4.36214,3.91145,3.498,3.12011,2.77593,2.46353,2.18094,1.92613,1.6971,1.49187,1.30851,1.14516,1.00005,0.871502,0.757916,0.657813,0.569814,0.492644,0.42513,0.366199,0.314876,0.270276,0.2316,0.198131,0.169224,0.144308,0.122871,0.104462,0.0886815,0.0751776,0.0636415,0.0538026,0.0454248,0.0383022,0.032256,0.0271309,0.022793,0.0191265,0.0160316,0.0134227,0.0112263,0.00937951,0.00782855,0.00652758,0.00543755,0.00452529,0.00376264,0.00312574,0.00259439,0.00215156,0.00178285,0.00147615,0.00122126,0.00100962,0.000834045,0.000688513,0.00056798,0.000468233,0.00038575,0.000317596,0.000261321,0.000214889,0.000176604,0.000145058,0.000119082,9.77054e-05,8.01247e-05,6.56744e-05,5.38039e-05,4.4058e-05,3.60608e-05,2.95018e-05,2.4125e-05,1.97193e-05,1.61108e-05,1.31563e-05,1.07381e-05,8.75911e-06,7.1397e-06,5.81427e-06,4.72889e-06,3.83914e-06,3.10841e-06,2.50645e-06,2.00816e-06,1.59262e-06,1.24219e-06,9.41853e-07,6.78588e-07,4.40822e-07,2.1797e-07,0,
5,31.375,31.2108,31.2084,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2083,31.2082,31.2081,31.208,31.2077,31.2072,31.2064,31.2051,31.2031,31.1999,31.1952,31.1881,31.1778,31.1632,31.1427,31.1148,31.0771,31.0271,30.9621,30.8788,30.7735,30.6425,30.4817,30.2869,30.0541,29.7793,29.4587,29.0892,28.6679,28.1929,27.6626,27.0768,26.4358,25.7409,24.9945,24.1996,23.3602,22.4811,21.5676,20.6256,19.6612,18.6811,17.6917,16.6997,15.7114,14.733,13.7701,12.8281,11.9118,11.0253,10.1723,9.35561,8.57767,7.84021,7.1444,6.49089,5.8798,5.31084,4.78328,4.2961,3.84796,3.4373,3.06236,2.72127,2.41205,2.13266,1.88106,1.6552,1.45307,1.27272,1.11229,0.969959,0.844048,0.732958,0.635199,0.549389,0.474252,0.408618,0.351419,0.301682,0.25853,0.221171,0.188894,0.161064,0.137116,0.116548,0.0989146,0.0838254,0.0709357,0.0599438,0.0505858,0.0426318,0.0358817,0.0301622,0.025323,0.0212346,0.0177854,0.0148795,0.0124345,0.01038,0.00865585,0.00721064,0.00600072,0.00498896,0.00414385,0.00343872,0.00285102,0.00236169,0.00195469,0.00161648,0.00133572,0.00110286,0.0009099,0.000750147,0.000617997,0.000508771,0.000418566,0.000344127,0.000282745,0.000232167,0.000190521,0.000156254,0.000128077,0.000104924,8.59096e-05,7.03045e-05,5.7505e-05,4.70126e-05,3.84163e-05,3.13773e-05,2.56163e-05,2.09036e-05,1.70503e-05,1.3901e-05,1.1328e-05,9.22647e-06,7.51041e-06,6.1092e-06,4.96489e-06,4.02991e-06,3.26521e-06,2.63864e-06,2.12374e-06,1.69858e-06,1.34493e-06,1.04749e-06,7.93244e-07,5.70942e-07,3.70618e-07,1.83174e-07,0,
6,31.375,31.2125,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.2101,31.21,31.21,31.21,31.21,31.2099,31.2097,31.2095,31.209,31.2083,31.2071,31.2051,31.2021,31.1975,31.1907,31.1808,31.1666,31.1468,31.1195,31.0826,31.0337,30.9698,30.8877,30.7837,30.6541,30.4946,30.3012,30.0697,29.7959,29.4761,29.107,28.6858,28.2102,27.679,27.0915,26.4482,25.7505,25.0005,24.2016,23.3576,22.4734,21.5545,20.6067,19.6365,18.6504,17.6552,16.6574,15.6636,14.6801,13.7125,12.7664,11.8465,10.957,10.1016,9.28314,8.50409,7.76614,7.07043,6.41756,5.80762,5.24025,4.71469,4.22985,3.78433,3.37652,3.00461,2.66667,2.36067,2.08454,1.83619,1.61354,1.41455,1.23725,1.07973,0.940201,0.816941,0.708351,0.612935,0.52931,0.456199,0.392436,0.336956,0.288793,0.247074,0.211016,0.179915,0.153145,0.130149,0.110432,0.0935584,0.0791449,0.0668544,0.0563925,0.0475019,0.039959,0.0335697,0.0281659,0.0236024,0.0197543,0.016514,0.0137893,0.0115012,0.00958225,0.00797497,0.0066304,0.00550695,0.00456936,0.00378777,0.00313694,0.00259558,0.00214575,0.00177236,0.00146272,0.0012062,0.000993874,0.000818297,0.000673234,0.000553486,0.000454716,0.000373316,0.000306283,0.000251124,0.00020577,0.000168504,0.000137906,0.000112799,9.22117e-05,7.5341e-05,6.15247e-05,5.02165e-05,4.09665e-05,3.34043e-05,2.72252e-05,2.2179e-05,1.806e-05,1.46993e-05,1.19586e-05,9.72427e-06,7.90338e-06,6.41974e-06,5.21099e-06,4.22607e-06,3.42315e-06,2.76798e-06,2.23244e-06,1.79342e-06,1.43183e-06,1.13186e-06,8.80234e-07,6.65734e-07,4.7867e-07,3.10484e-07,1.53382e-07,0,
7,31.375,31.2142,31.2119,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2118,31.2117,31.2117,31.2115,31.2113,31.2109,31.2102,31.209,31.2072,31.2043,31.1999,31.1933,31.1838,31.17,31.1507,31.1241,31.0881,31.0402,30.9774,30.8965,30.7939,30.6657,30.5077,30.3157,30.0854,29.8127,29.4937,29.1251,28.7039,28.2279,27.6956,27.1065,26.461,25.7604,25.0069,24.2038,23.3552,22.4659,21.5414,20.5878,19.6116,18.6195,17.6182,16.6146,15.6153,14.6266,13.6543,12.704,11.7804,10.8879,10.0301,9.20999,8.42987,7.69147,6.9959,6.34373,5.735,5.1693,4.64581,4.16338,3.72057,3.31568,2.94686,2.61214,2.30942,2.0366,1.79154,1.57214,1.37632,1.20208,1.04751,0.910788,0.790188,0.684101,0.591027,0.509582,0.43849,0.376588,0.322814,0.276209,0.235908,0.201135,0.171193,0.145466,0.123404,0.104522,0.0883915,0.0746379,0.0629316,0.0529852,0.0445485,0.0374041,0.0313637,0.0262648,0.021967,0.01835,0.0153101,0.012759,0.0106209,0.00883126,0.00733529,0.00608635,0.0050449,0.0041775,0.00345589,0.00285624,0.00235847,0.00194572,0.00160381,0.00132087,0.00108695,0.000893746,0.000734313,0.000602866,0.000494587,0.000405467,0.000332176,0.00027195,0.000222498,0.000181924,0.000148657,0.000121401,9.90848e-05,8.08256e-05,6.58952e-05,5.36945e-05,4.37303e-05,3.55975e-05,2.89632e-05,2.35542e-05,1.91465e-05,1.55566e-05,1.26342e-05,1.0256e-05,8.32163e-06,6.74867e-06,5.46992e-06,4.43044e-06,3.58538e-06,2.89807e-06,2.33856e-06,1.88232e-06,1.50923e-06,1.20275e-06,9.49161e-07,7.37033e-07,5.56699e-07,3.99847e-07,2.59152e-07,1.27962e-07,0,
8,31.375,31.2159,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2136,31.2135,31.2135,31.2135,31.2135,31.2134,31.2133,31.2131,31.2127,31.212,31.2109,31.2092,31.2064,31.2022,31.1959,31.1867,31.1734,31.1547,31.1288,31.0936,31.0466,30.985,30.9054,30.8041,30.6773,30.5208,30.3302,30.1012,29.8297,29.5116,29.1435,28.7223,28.2459,27.7126,27.1219,26.4741,25.7705,25.0135,24.2062,23.3529,22.4583,21.5283,20.5688,19.5865,18.5883,17.5809,16.5714,15.5665,14.5725,13.5955,12.6409,11.7137,10.8182,9.95798,9.13615,8.35498,7.61617,6.92081,6.26941,5.66196,5.098,4.57666,4.09672,3.65667,3.25478,2.88913,2.55768,2.25831,1.98884,1.74713,1.531,1.33838,1.16724,1.01563,0.881729,0.763796,0.660213,0.56948,0.490209,0.421128,0.361074,0.308994,0.263933,0.225033,0.191527,0.162727,0.138025,0.11688,0.0988154,0.0834121,0.0703024,0.0591649,0.0497197,0.0417232,0.0349646,0.0292614,0.0244565,0.0204145,0.0170194,0.0141717,0.0117866,0.00979171,0.00812533,0.00673521,0.005577,0.0046132,0.00381213,0.00314709,0.00259559,0.00213876,0.00176075,0.00144828,0.00119025,0.000977379,0.000801934,0.000657468,0.000538617,0.000440925,0.000360693,0.000294855,0.000240871,0.000196641,0.000160431,0.000130807,0.000106589,8.68047e-05,7.06524e-05,5.74741e-05,4.6729e-05,3.79732e-05,3.08425e-05,2.50386e-05,2.03173e-05,1.64786e-05,1.33591e-05,1.08253e-05,8.76808e-06,7.09849e-06,5.74395e-06,4.64527e-06,3.75423e-06,3.03152e-06,2.44512e-06,1.96889e-06,1.58152e-06,1.26555e-06,1.00667e-06,7.93047e-07,6.1485e-07,4.63787e-07,3.32748e-07,2.1549e-07,1.0635e-07,0,
9,31.375,31.2176,31.2154,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2153,31.2152,31.2152,31.2151,31.2149,31.2145,31.2139,31.2128,31.2112,31.2086,31.2046,31.1985,31.1896,31.1768,31.1586,31.1334,31.0991,31.0531,30.9926,30.9142,30.8144,30.689,30.534,30.3448,30.1172,29.8468,29.5296,29.1621,28.741,28.2642,27.7299,27.1376,26.4875,25.781,25.0204,24.2089,23.3507,22.4509,21.5151,20.5497,19.5612,18.5567,17.5432,16.5277,15.5171,14.5178,13.5359,12.577,11.6462,10.7476,9.8851,9.06159,8.27941,7.54025,6.84515,6.19458,5.58848,5.02635,4.50723,4.02986,3.59266,3.19384,2.83142,2.50331,2.20733,1.94128,1.70295,1.49015,1.30076,1.13273,0.984103,0.853032,0.737771,0.636695,0.5483,0.471197,0.404116,0.345899,0.295497,0.251964,0.214449,0.182193,0.154517,0.130822,0.110576,0.0933114,0.0786179,0.0661359,0.0555519,0.0465933,0.0390235,0.0326381,0.0272604,0.0227387,0.0189426,0.0157604,0.0130967,0.0108703,0.00901189,0.00746277,0.00617315,0.00510091,0.00421053,0.00347204,0.00286025,0.002354,0.00193554,0.00159003,0.00130503,0.0010702,0.000876894,0.000717919,0.000587301,0.00048008,0.00039214,0.000320078,0.000261074,0.000212802,0.00017334,0.000141105,0.000114793,9.33305e-05,7.58364e-05,6.15863e-05,4.99862e-05,4.05493e-05,3.28769e-05,2.66428e-05,2.15802e-05,1.74713e-05,1.41381e-05,1.14357e-05,9.2456e-06,7.47157e-06,6.03513e-06,4.87243e-06,3.93156e-06,3.17028e-06,2.55429e-06,2.05567e-06,1.65173e-06,1.32397e-06,1.05732e-06,8.39421e-07,6.60117e-07,5.10971e-07,3.84897e-07,2.75837e-07,1.78485e-07,8.80422e-08,0,
