,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,
0,1031.38,1025.7,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.61,1025.62,1025.63,1025.64,1025.67,1025.71,1025.77,1025.86,1025.98,1026.16,1026.4,1026.7,1027.08,1027.54,1028.08,1028.7,1029.39,1030.14,1030.92,1031.71,1032.49,1033.2,1033.82,1034.3,1034.59,1034.65,1034.44,1033.9,1032.99,1031.67,1029.89,1027.61,1024.78,1021.38,1017.36,1012.7,1007.35,1001.3,994.523,986.998,978.709,969.648,959.808,949.189,937.795,925.637,912.73,899.093,884.751,869.736,854.08,837.821,821.002,803.668,785.865,767.642,749.052,730.146,710.976,691.596,672.056,652.409,632.705,612.992,593.317,573.726,554.259,534.958,515.861,497,478.41,460.118,442.152,424.536,407.29,390.433,373.981,357.948,342.345,327.181,312.463,298.196,284.382,271.025,258.122,245.674,233.675,222.124,211.013,200.337,190.089,180.261,170.844,161.828,153.204,144.963,137.092,129.583,122.422,115.6,109.105,102.926,97.052,91.4709,86.172,81.1443,76.3768,71.8589,67.5801,63.53,59.6987,56.0764,52.6535,49.4207,46.369,43.4899,40.7748,38.2156,35.8045,33.534,31.3969,29.3861,27.495,25.7171,24.0464,22.4769,21.0032,19.6197,18.3213,17.1033,15.9609,14.8898,13.8856,12.9443,12.0623,11.2357,10.4611,9.73531,9.0551,8.41751,7.8197,7.25895,6.73269,6.23845,5.77388,5.33673,4.92484,4.53613,4.16862,3.82039,3.48957,3.17437,2.87303,2.58385,2.30514,2.03527,1.7726,1.51552,1.26242,1.0117,0.76174,0.510908,0.257555,0,
1,1031.38,1025.75,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.67,1025.68,1025.7,1025.72,1025.76,1025.82,1025.91,1026.04,1026.21,1026.44,1026.75,1027.12,1027.58,1028.13,1028.75,1029.45,1030.2,1030.99,1031.8,1032.58,1033.31,1033.94,1034.43,1034.74,1034.81,1034.61,1034.09,1033.19,1031.88,1030.1,1027.83,1025.01,1021.61,1017.6,1012.93,1007.59,1001.53,994.749,987.213,978.912,969.835,959.976,949.334,937.914,925.725,912.783,899.108,884.726,869.665,853.961,837.651,820.779,803.389,785.528,767.248,748.598,729.632,710.402,690.962,671.364,651.66,631.9,612.133,592.407,572.767,553.254,533.91,514.772,495.875,477.251,458.93,440.937,423.298,406.032,389.159,372.694,356.651,341.041,325.873,311.154,296.889,283.08,269.729,256.836,244.399,232.415,220.878,209.785,199.128,188.9,179.094,169.699,160.707,152.108,143.892,136.048,128.565,121.431,114.637,108.17,102.019,96.1719,90.6186,85.3474,80.3472,75.607,71.1161,66.864,62.8402,59.0347,55.4378,52.0397,48.8312,45.8034,42.9474,40.255,37.7178,35.3282,33.0785,30.9615,28.9702,27.098,25.3384,23.6854,22.133,20.6756,19.308,18.0249,16.8216,15.6933,14.6357,13.6445,12.7158,11.8458,11.0307,10.2672,9.552,8.88197,8.25415,7.66571,7.11396,6.59634,6.11041,5.65383,5.22437,4.8199,4.43836,4.07778,3.73627,3.41198,3.10314,2.80801,2.52491,2.25218,1.98821,1.73138,1.4801,1.23279,0.987873,0.74375,0.498819,0.251453,0,
2,1031.38,1025.81,1025.73,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.72,1025.73,1025.73,1025.74,1025.75,1025.78,1025.82,1025.87,1025.96,1026.09,1026.26,1026.49,1026.79,1027.17,1027.63,1028.18,1028.81,1029.51,1030.27,1031.07,1031.88,1032.67,1033.41,1034.06,1034.56,1034.88,1034.97,1034.78,1034.27,1033.38,1032.08,1030.32,1028.05,1025.24,1021.85,1017.84,1013.17,1007.82,1001.77,994.975,987.431,979.117,970.024,960.146,949.481,938.034,925.815,912.838,899.125,884.7,869.595,853.842,837.481,820.555,803.109,785.191,766.851,748.142,729.115,709.826,690.326,670.669,650.907,631.091,611.271,591.493,571.803,552.244,532.857,513.679,494.745,476.088,457.736,439.717,422.054,404.769,387.879,371.401,355.349,339.732,324.561,309.841,295.578,281.774,268.431,255.548,243.122,231.152,219.631,208.556,197.918,187.711,177.926,168.554,159.586,151.013,142.822,135.004,127.548,120.442,113.675,107.235,101.112,95.2936,89.7682,84.5248,79.5523,74.8395,70.3757,66.1503,62.1528,58.3733,54.8017,51.4286,48.2445,45.2405,42.4078,39.738,37.2229,34.8546,32.6257,30.5289,28.5571,26.7038,24.9625,23.3271,21.7917,20.3507,18.9989,17.731,16.5423,15.4281,14.384,13.4058,12.4896,11.6315,10.8279,10.0754,9.37072,8.7108,8.09268,7.51353,6.97071,6.46166,5.98397,5.53531,5.11347,4.71635,4.3419,3.98818,3.65331,3.33547,3.03291,2.74392,2.46682,2.19999,1.94184,1.69076,1.4452,1.2036,0.964402,0.726031,0.486912,0.245444,0,
3,1031.38,1025.86,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.78,1025.79,1025.8,1025.81,1025.83,1025.87,1025.93,1026.01,1026.14,1026.31,1026.54,1026.84,1027.22,1027.68,1028.23,1028.86,1029.57,1030.33,1031.14,1031.96,1032.77,1033.52,1034.17,1034.69,1035.03,1035.13,1034.95,1034.45,1033.58,1032.29,1030.54,1028.28,1025.47,1022.08,1018.07,1013.41,1008.06,1002,995.203,987.649,979.324,970.215,960.317,949.629,938.155,925.905,912.894,899.143,884.676,869.525,853.723,837.311,820.331,802.828,784.852,766.453,747.683,728.596,709.246,689.686,669.97,650.15,630.278,610.403,590.573,570.835,551.229,531.799,512.581,493.61,474.919,456.537,438.492,420.806,403.501,386.595,370.105,354.042,338.42,323.245,308.525,294.264,280.466,267.13,254.256,241.843,229.887,218.382,207.325,196.706,186.52,176.757,167.409,158.465,149.917,141.752,133.961,126.532,119.453,112.714,106.303,100.207,94.4169,88.9197,83.7042,78.7594,74.0742,69.6376,65.439,61.468,57.7144,54.1684,50.8202,47.6606,44.6804,41.871,39.2238,36.7308,34.3839,32.1758,30.0991,28.1469,26.3124,24.5893,22.9715,21.4531,20.0285,18.6924,17.4397,16.2656,15.1654,14.1347,13.1695,12.2656,11.4194,10.6272,9.88563,9.19146,8.54158,7.93308,7.36318,6.82921,6.32866,5.85913,5.41831,5.00403,4.61417,4.24675,3.89981,3.57151,3.26005,2.96369,2.68075,2.40958,2.14858,1.89615,1.65075,1.41083,1.17486,0.941288,0.708583,0.475188,0.239527,0,
4,1031.38,1025.92,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.84,1025.85,1025.85,1025.87,1025.89,1025.92,1025.98,1026.07,1026.19,1026.36,1026.59,1026.89,1027.27,1027.73,1028.28,1028.91,1029.62,1030.4,1031.21,1032.05,1032.86,1033.62,1034.29,1034.82,1035.17,1035.29,1035.13,1034.64,1033.78,1032.5,1030.75,1028.5,1025.7,1022.32,1018.31,1013.65,1008.3,1002.24,995.432,987.869,979.531,970.407,960.49,949.779,938.278,925.997,912.952,899.161,884.653,869.455,853.605,837.141,820.106,802.547,784.512,766.053,747.223,728.075,708.663,689.042,669.267,649.389,629.46,609.531,589.649,569.861,550.209,530.735,511.477,492.469,473.745,455.333,437.261,419.552,402.228,385.306,368.803,352.732,337.103,321.925,307.205,292.947,279.154,265.826,252.963,240.562,228.62,217.132,206.092,195.494,185.328,175.588,166.263,157.344,148.821,140.683,132.918,125.516,118.465,111.754,105.371,99.3042,93.542,88.073,82.8857,77.9688,73.3111,68.9019,64.7302,60.7857,57.0582,53.5377,50.2146,47.0794,44.1231,41.337,38.7125,36.2415,33.9161,31.7287,29.6722,27.7394,25.9238,24.2189,22.6187,21.1172,19.7089,18.3885,17.1509,15.9913,14.9051,13.8879,12.9355,12.0439,11.2095,10.4287,9.69798,9.01421,8.37431,7.77537,7.21463,6.68945,6.19733,5.73588,5.30284,4.89603,4.51338,4.15289,3.81267,3.49086,3.1857,2.89547,2.61851,2.35319,2.09792,1.85116,1.61135,1.37699,1.14655,0.918529,0.691403,0.463644,0.233702,0,
5,1031.38,1025.98,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.9,1025.91,1025.92,1025.94,1025.98,1026.04,1026.12,1026.24,1026.41,1026.64,1026.94,1027.31,1027.78,1028.33,1028.97,1029.68,1030.46,1031.29,1032.13,1032.95,1033.73,1034.41,1034.96,1035.32,1035.45,1035.3,1034.82,1033.97,1032.7,1030.97,1028.73,1025.93,1022.56,1018.55,1013.89,1008.54,1002.47,995.663,988.091,979.741,970.6,960.664,949.93,938.402,926.09,913.01,899.181,884.63,869.387,853.487,836.971,819.881,802.265,784.171,765.652,746.76,727.55,708.077,688.396,668.56,648.624,628.638,608.654,588.72,568.882,549.184,529.666,510.367,491.323,472.565,454.123,436.025,418.293,400.95,384.012,367.497,351.416,335.782,320.601,305.881,291.626,277.839,264.519,251.666,239.278,227.351,215.88,204.858,194.28,184.136,174.418,165.117,156.223,147.726,139.614,131.876,124.502,117.479,110.796,104.441,98.4027,92.6689,87.2283,82.0692,77.1803,72.5504,68.1685,64.0239,60.106,56.4046,52.9098,49.6117,46.501,43.5687,40.8059,38.2041,35.7551,33.4511,31.2846,29.2481,27.3348,25.538,23.8513,22.2686,20.784,19.392,18.0873,16.8648,15.7196,14.6473,13.6434,12.7038,11.8245,11.0019,10.2323,9.5124,8.83898,8.20899,7.61954,7.06789,6.55142,6.06765,5.61423,5.18889,4.78948,4.41396,4.06034,3.72674,3.41136,3.11242,2.82824,2.55718,2.29763,2.04803,1.80684,1.57255,1.34366,1.11868,0.896124,0.674492,0.452282,0.227968,0,
6,1031.38,1026.03,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.95,1025.96,1025.96,1025.97,1025.98,1026,1026.03,1026.09,1026.17,1026.29,1026.46,1026.69,1026.98,1027.36,1027.82,1028.38,1029.02,1029.74,1030.53,1031.36,1032.21,1033.05,1033.84,1034.53,1035.09,1035.47,1035.61,1035.47,1035.01,1034.17,1032.91,1031.19,1028.95,1026.17,1022.79,1018.79,1014.13,1008.78,1002.71,995.895,988.314,979.951,970.796,960.84,950.082,938.528,926.185,913.07,899.202,884.608,869.318,853.369,836.8,819.655,801.981,783.828,765.248,746.295,727.024,707.489,687.746,667.85,647.854,627.812,607.773,587.786,567.898,548.153,528.592,509.252,490.171,471.38,452.908,434.784,417.03,399.667,382.714,366.186,350.097,334.457,319.274,304.554,290.302,276.521,263.209,250.367,237.992,226.08,214.626,203.623,193.065,182.943,173.248,163.971,155.102,146.631,138.545,130.835,123.488,116.493,109.839,103.513,97.5028,91.7977,86.3856,81.2548,76.3941,71.792,67.4377,63.3202,59.4289,55.7537,52.2845,49.0116,45.9255,43.0171,40.2776,37.6985,35.2716,32.989,30.8432,28.8269,26.9331,25.155,23.4865,21.9212,20.4535,19.0778,17.7886,16.5811,15.4504,14.3919,13.4013,12.4744,11.6074,10.7965,10.0381,9.32891,8.66576,8.04561,7.46558,6.92295,6.41512,5.93964,5.49416,5.07645,4.68438,4.3159,3.96908,3.64204,3.333,3.04021,2.76201,2.49677,2.24291,1.9989,1.76321,1.53435,1.31086,1.09125,0.874071,0.657847,0.441099,0.222324,0,
7,1031.38,1026.09,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.01,1026.02,1026.02,1026.04,1026.06,1026.09,1026.14,1026.22,1026.34,1026.51,1026.73,1027.03,1027.41,1027.87,1028.43,1029.07,1029.8,1030.59,1031.43,1032.29,1033.14,1033.94,1034.65,1035.22,1035.61,1035.77,1035.65,1035.2,1034.37,1033.12,1031.41,1029.18,1026.4,1023.03,1019.04,1014.38,1009.02,1002.95,996.128,988.538,980.164,970.992,961.017,950.237,938.655,926.281,913.131,899.224,884.587,869.251,853.252,836.63,819.429,801.697,783.484,764.843,745.828,726.494,706.897,687.092,667.136,647.081,626.981,606.887,586.847,566.909,547.117,527.512,508.132,489.014,470.189,451.688,433.537,415.761,398.379,381.41,364.871,348.773,333.127,317.942,303.223,288.975,275.199,261.897,249.066,236.704,224.808,213.371,202.387,191.849,181.749,172.077,162.825,153.981,145.536,137.477,129.794,122.476,115.509,108.883,102.586,96.6046,90.9282,85.5448,80.4426,75.6101,71.036,66.7093,62.6189,58.7545,55.1055,51.662,48.4142,45.3527,42.4683,39.7522,37.1958,34.791,32.5299,30.4048,28.4085,26.5341,24.7749,23.1244,21.5767,20.1258,18.7662,17.4926,16.3001,15.1837,14.139,13.1616,12.2474,11.3926,10.5932,9.84601,9.1475,8.49456,7.88417,7.31349,6.77981,6.28056,5.81329,5.37568,4.96553,4.58071,4.21921,3.87911,3.55856,3.25578,2.96906,2.69676,2.43727,2.18903,1.95052,1.72025,1.49675,1.27857,1.06425,0.852368,0.641468,0.430094,0.216771,0,
8,1031.38,1026.14,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.07,1026.08,1026.09,1026.11,1026.15,1026.2,1026.28,1026.39,1026.56,1026.78,1027.08,1027.45,1027.92,1028.48,1029.12,1029.85,1030.65,1031.5,1032.37,1033.24,1034.05,1034.77,1035.36,1035.76,1035.93,1035.82,1035.38,1034.57,1033.33,1031.62,1029.41,1026.64,1023.27,1019.28,1014.62,1009.27,1003.19,996.363,988.764,980.377,971.19,961.196,950.393,938.784,926.379,913.193,899.247,884.567,869.184,853.134,836.459,819.202,801.412,783.139,764.436,745.359,725.962,706.302,686.435,666.418,646.303,626.145,605.996,585.903,565.915,546.076,526.427,507.007,487.851,468.993,450.462,432.285,414.486,397.086,380.102,363.551,347.444,331.793,316.606,301.888,287.644,273.875,260.581,247.762,235.414,223.533,212.113,201.149,190.632,180.554,170.906,161.678,152.86,144.441,136.41,128.755,121.464,114.526,107.929,101.66,95.7081,90.0607,84.7061,79.6325,74.8284,70.2824,65.9833,61.9203,58.0827,54.46,51.0423,47.8198,44.7829,41.9225,39.2297,36.6961,34.3133,32.0736,29.9693,27.9931,26.1381,24.3976,22.7652,21.2349,19.8007,18.4573,17.1993,16.0216,14.9196,13.8886,12.9244,12.0228,11.18,10.3922,9.65608,8.96817,8.32536,7.72467,7.16327,6.63847,6.14771,5.68859,5.25878,4.85611,4.47847,4.12387,3.79042,3.47628,3.17969,2.89898,2.6325,2.37868,2.13598,1.9029,1.67797,1.45974,1.24679,1.03768,0.831014,0.625352,0.419267,0.211308,0,
9,1031.38,1026.2,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.13,1026.14,1026.15,1026.17,1026.2,1026.25,1026.33,1026.44,1026.61,1026.83,1027.12,1027.5,1027.97,1028.52,1029.17,1029.91,1030.72,1031.57,1032.46,1033.33,1034.16,1034.89,1035.49,1035.91,1036.09,1036,1035.57,1034.77,1033.54,1031.85,1029.64,1026.87,1023.51,1019.52,1014.87,1009.51,1003.43,996.599,988.991,980.593,971.39,961.377,950.55,938.914,926.478,913.256,899.271,884.547,869.117,853.017,836.288,818.975,801.126,782.792,764.028,744.887,725.427,705.704,685.775,665.696,645.521,625.305,605.1,584.954,564.916,545.029,525.336,505.875,486.683,467.791,449.231,431.028,413.207,395.788,378.789,362.226,346.111,330.456,315.267,300.55,286.31,272.547,259.263,246.456,234.122,222.256,210.855,199.91,189.414,179.359,169.734,160.531,151.739,143.347,135.343,127.715,120.453,113.544,106.976,100.736,94.8134,89.1951,83.8694,78.8246,74.049,69.5312,65.2599,61.2243,57.4135,53.8173,50.4254,47.2281,44.2159,41.3795,38.7101,36.1993,33.8386,31.6203,29.5367,27.5806,25.7449,24.0231,22.4088,20.8958,19.4784,18.1511,16.9085,15.7457,14.6579,13.6406,12.6895,11.8005,10.9697,10.1935,9.46829,8.79091,8.15817,7.56711,7.01491,6.49892,6.01659,5.56553,5.14346,4.74819,4.37766,4.0299,3.70301,3.39521,3.10474,2.82995,2.56922,2.32099,2.08375,1.85602,1.63636,1.42332,1.21552,1.01155,0.810006,0.609499,0.408617,0.205934,0,
